City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Imeni Poliny Osipenko,RU,52.4201,136.4853,-34.29,100,66,2.3,broken clouds
1,Tchibanga,GA,-2.85,11.0333,79.68,87,70,3.85,broken clouds
2,Adrar,MR,20.5022,-10.0711,76.3,13,100,12.19,overcast clouds
3,Nikolskoye,RU,59.7035,30.7861,33.8,93,100,7.11,overcast clouds
4,Kapaa,US,22.0752,-159.319,73.72,86,0,23.02,clear sky
5,Vaini,TO,-21.2,-175.2,77.16,94,75,4.61,light rain
6,Hobart,AU,-42.8794,147.3294,57.06,72,100,3.44,overcast clouds
7,Norman Wells,CA,65.282,-126.8329,-27.36,75,40,3.44,scattered clouds
8,Avarua,CK,-21.2078,-159.775,73.45,100,23,2.3,few clouds
9,Rikitea,PF,-23.1203,-134.9692,79.09,75,4,13.67,light rain
10,Iqaluit,CA,63.7506,-68.5145,-20.47,76,40,0.0,scattered clouds
11,Castro,BR,-24.7911,-50.0119,80.15,49,7,6.69,clear sky
12,Port Elizabeth,ZA,-33.918,25.5701,72.32,71,20,9.22,few clouds
13,New Norfolk,AU,-42.7826,147.0587,56.7,65,100,1.28,overcast clouds
14,Pevek,RU,69.7008,170.3133,-26.68,100,100,6.02,overcast clouds
15,Albany,US,42.6001,-73.9662,42.94,60,55,3.0,broken clouds
16,Marawi,PH,7.9986,124.2928,66.54,97,100,1.01,overcast clouds
17,Port Alfred,ZA,-33.5906,26.891,72.18,82,98,1.01,overcast clouds
18,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,69,75,8.05,broken clouds
19,Chuy,UY,-33.6971,-53.4616,88.74,38,31,8.39,scattered clouds
20,Ushuaia,AR,-54.8,-68.3,71.26,37,75,11.5,broken clouds
21,Ribeira Grande,PT,38.5167,-28.7,57.78,58,40,12.66,scattered clouds
22,Pangnirtung,CA,66.1451,-65.7125,-20.2,63,20,0.0,few clouds
23,Barrow,US,71.2906,-156.7887,-16.58,69,100,4.61,overcast clouds
24,Haines Junction,CA,60.7522,-137.5108,1.35,85,97,3.44,overcast clouds
25,Tripoli,LY,32.8752,13.1875,52.57,84,100,17.96,moderate rain
26,Bam,IR,29.106,58.357,64.65,43,100,8.34,overcast clouds
27,Upernavik,GL,72.7868,-56.1549,-24.45,89,23,3.96,few clouds
28,Cape Town,ZA,-33.9258,18.4232,82.81,61,0,14.97,clear sky
29,Shoranur,IN,10.7667,76.2833,73.76,84,91,0.89,overcast clouds
30,Dakar,SN,14.6937,-17.4441,86.88,60,0,11.5,clear sky
31,Busselton,AU,-33.65,115.3333,60.75,85,0,11.56,clear sky
32,Moosomin,CA,50.1333,-101.6677,28.92,95,100,3.87,light snow
33,Margate,GB,51.3813,1.3862,43.7,61,24,4.0,few clouds
34,Lebu,CL,-37.6167,-73.65,66.24,71,1,13.71,clear sky
35,Nasice,HR,45.4886,18.0878,29.75,78,66,6.11,broken clouds
36,Amga,RU,60.8953,131.9608,-43.08,100,100,0.76,overcast clouds
37,Yellowknife,CA,62.456,-114.3525,-23.28,76,20,3.44,few clouds
38,Coro,VE,11.4045,-69.6734,82.38,67,19,18.7,few clouds
39,Kavieng,PG,-2.5744,150.7967,80.33,80,100,8.46,overcast clouds
40,Alice Springs,AU,-23.7,133.8833,72.95,73,7,5.75,clear sky
41,Bredasdorp,ZA,-34.5322,20.0403,70.84,63,1,18.3,clear sky
42,Tura,IN,25.5198,90.2201,62.42,51,26,3.11,scattered clouds
43,Darhan,MN,49.4867,105.9228,-9.47,100,46,3.87,scattered clouds
44,Ust-Maya,RU,60.4167,134.5333,-38.81,100,100,0.96,overcast clouds
45,Carnarvon,AU,-24.8667,113.6333,77.68,76,9,23.96,clear sky
46,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,68,0,4.61,clear sky
47,Ponta Do Sol,PT,32.6667,-17.1,63.23,46,71,6.13,light rain
48,Tari,NG,12.4086,4.4914,93.92,8,84,10.98,broken clouds
49,Labuhan,ID,-6.8844,112.2051,78.06,88,96,9.8,overcast clouds
50,Rokosovo,UA,48.2102,23.1762,21.83,91,2,2.89,clear sky
51,Ancud,CL,-41.8697,-73.8203,65.41,70,5,9.33,clear sky
52,Hasaki,JP,35.7333,140.8333,39.6,66,84,16.93,broken clouds
53,Punta Arenas,CL,-53.15,-70.9167,71.71,43,100,13.8,overcast clouds
54,Swan Hill,AU,-35.3378,143.5544,66.87,47,44,7.23,scattered clouds
55,Saskylakh,RU,71.9167,114.0833,-34.35,99,96,5.17,overcast clouds
56,Galveston,US,29.3669,-94.9669,77.18,85,75,12.66,mist
57,Bluff,NZ,-46.6,168.3333,50.81,67,71,23.98,light rain
58,Melchor De Mencos,GT,17.0686,-89.1522,82.4,74,40,4.61,scattered clouds
59,Ichhawar,IN,23.0167,77.0167,66.29,26,1,5.59,clear sky
60,Meulaboh,ID,4.1363,96.1285,75.54,89,100,3.42,overcast clouds
61,Djibo,BF,14.1022,-1.6306,96.26,7,7,13.71,clear sky
62,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,52,40,9.22,scattered clouds
63,Parrita,CR,9.5201,-84.3225,86.77,52,5,7.45,clear sky
64,San Patricio,US,28.017,-97.5169,62.89,85,92,18.43,light rain
65,Khatanga,RU,71.9667,102.5,-44.7,100,69,4.52,broken clouds
66,Thompson,CA,55.7435,-97.8558,12.36,92,75,2.3,broken clouds
67,Kangaatsiaq,GL,68.3065,-53.4641,-19.17,90,11,11.05,few clouds
68,Milkovo,RU,54.7167,158.6167,-3.21,100,100,1.48,overcast clouds
69,Henties Bay,NA,-22.116,14.2845,65.91,83,55,11.21,broken clouds
70,Abu Samrah,SY,35.3029,37.1841,37.83,55,43,10.27,scattered clouds
71,Porto Novo,BJ,6.4965,2.6036,87.62,65,84,11.81,broken clouds
72,Sur,OM,22.5667,59.5289,78.69,44,54,7.43,broken clouds
73,Pisco,PE,-13.7,-76.2167,79.02,73,0,9.22,clear sky
74,Butaritari,KI,3.0707,172.7902,80.28,83,81,20.94,light rain
75,Marrakesh,MA,31.6315,-8.0083,64.47,36,40,6.91,scattered clouds
76,Torbay,CA,47.6666,-52.7314,33.89,94,100,17.27,light snow
77,Ridgecrest,US,35.6225,-117.6709,39.06,52,0,4.61,clear sky
78,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,0.19,78,75,4.47,broken clouds
79,Pimenta Bueno,BR,-11.6725,-61.1936,83.21,70,80,3.62,broken clouds
80,Boa Vista,BR,2.8197,-60.6733,85.98,58,40,11.5,scattered clouds
81,Hermanus,ZA,-34.4187,19.2345,75.79,61,0,20.58,clear sky
82,Samarai,PG,-10.6167,150.6667,76.59,93,100,8.52,light rain
83,Bima,ID,-8.4667,118.7167,76.75,93,98,3.06,overcast clouds
84,Atuona,PF,-9.8,-139.0333,79.07,79,15,19.33,few clouds
85,Lagoa,PT,39.05,-27.9833,56.12,60,94,13.33,overcast clouds
86,Deputatskiy,RU,69.3,139.9,-45.45,99,70,4.47,broken clouds
87,Wexford,IE,52.3342,-6.4575,48.22,86,83,15.01,broken clouds
88,Glendive,US,47.1053,-104.7125,42.76,65,0,8.01,clear sky
89,Victoria,HK,22.2855,114.1577,66.96,87,100,15.01,overcast clouds
90,Kirakira,SB,-10.4544,161.9205,80.06,84,100,6.24,overcast clouds
91,Airai,TL,-8.9266,125.4092,60.06,96,94,1.12,overcast clouds
92,Reyes,BO,-14.3167,-67.3833,78.76,89,100,0.0,overcast clouds
